time_iso8601,forks_cumulative
2020-06-20 00:00:00+00:00,1
2020-06-24 00:00:00+00:00,3
2020-06-25 00:00:00+00:00,4
2020-07-12 00:00:00+00:00,5
2020-07-19 00:00:00+00:00,6
2020-07-29 00:00:00+00:00,7
2020-08-03 00:00:00+00:00,8
2020-08-11 00:00:00+00:00,9
2020-09-27 00:00:00+00:00,10
2020-11-16 00:00:00+00:00,11
2020-12-04 00:00:00+00:00,12
2020-12-29 00:00:00+00:00,13
2021-02-17 00:00:00+00:00,14
2021-02-22 00:00:00+00:00,15
2021-02-27 00:00:00+00:00,16
2021-03-02 00:00:00+00:00,17
2021-03-17 00:00:00+00:00,18
2021-04-06 00:00:00+00:00,19
2021-04-19 00:00:00+00:00,20
2021-05-07 00:00:00+00:00,21
2021-05-08 00:00:00+00:00,22
2021-05-11 00:00:00+00:00,23
2021-05-13 00:00:00+00:00,24
2021-06-05 00:00:00+00:00,25
2021-06-20 00:00:00+00:00,26
2021-07-20 00:00:00+00:00,27
2021-09-06 00:00:00+00:00,28
2021-10-05 00:00:00+00:00,29
2021-11-03 00:00:00+00:00,30
2021-12-16 00:00:00+00:00,31
2021-12-30 00:00:00+00:00,32
2022-03-09 00:00:00+00:00,33
2022-03-29 00:00:00+00:00,34
2022-04-03 00:00:00+00:00,35
2022-04-10 00:00:00+00:00,36
