time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-28 00:00:00+00:00,,,7,4
2022-03-29 00:00:00+00:00,5.0,5.0,87,22
2022-03-30 00:00:00+00:00,5.0,4.0,24,15
2022-03-31 00:00:00+00:00,1.0,1.0,42,20
2022-04-01 00:00:00+00:00,3.0,3.0,27,15
2022-04-02 00:00:00+00:00,5.0,5.0,46,18
2022-04-03 00:00:00+00:00,9.0,7.0,55,14
2022-04-04 00:00:00+00:00,3.0,3.0,37,15
2022-04-05 00:00:00+00:00,3.0,3.0,34,15
2022-04-06 00:00:00+00:00,48.0,6.0,151,21
2022-04-07 00:00:00+00:00,141.0,15.0,46,15
2022-04-08 00:00:00+00:00,225.0,71.0,178,35
2022-04-09 00:00:00+00:00,23.0,20.0,50,22
2022-04-10 00:00:00+00:00,58.0,37.0,89,20
2022-04-11 00:00:00+00:00,81.0,60.0,101,14
