time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-28 00:00:00+00:00,0,0,7,4
2022-03-29 00:00:00+00:00,5,5,87,22
2022-03-30 00:00:00+00:00,5,4,24,15
2022-03-31 00:00:00+00:00,1,1,42,20
2022-04-01 00:00:00+00:00,3,3,27,15
2022-04-02 00:00:00+00:00,5,5,46,18
2022-04-03 00:00:00+00:00,9,7,55,14
2022-04-04 00:00:00+00:00,3,3,37,15
2022-04-05 00:00:00+00:00,3,3,34,15
2022-04-06 00:00:00+00:00,48,6,151,21
2022-04-07 00:00:00+00:00,141,15,46,15
2022-04-08 00:00:00+00:00,225,71,178,35
2022-04-09 00:00:00+00:00,23,20,50,22
2022-04-10 00:00:00+00:00,58,37,89,20
2022-04-11 00:00:00+00:00,81,60,101,14
